id,lang_id,menu_id,code,lbl
veXuk6hkQwSpeCOdeq647A,eYHRCo6WQFm4TBWYzAdERg,,启用 {0} 条数据成功,Enable {0} pieces of data successfully
i4rpKYiKSUm8+XQjG7CreA,eYHRCo6WQFm4TBWYzAdERg,,禁用 {0} 条数据成功,Disable {0} pieces of data successfully
vi091MmERpaIolbY0wurxQ,eYHRCo6WQFm4TBWYzAdERg,,还原 {0} {1} 成功,Restore {0} pieces of {1} successfully
0LrK+P3jSQ+qM+tF6AQjzg,eYHRCo6WQFm4TBWYzAdERg,,请输入,Please enter
PoSjTPGDTKeBfyCMIV7BlA,eYHRCo6WQFm4TBWYzAdERg,,请选择,Please select
X4iqaZHZQWqYymzn+6jR3A,eYHRCo6WQFm4TBWYzAdERg,,批量导入,BatchImport
rnt8uL28SAqd6t54qTxoFQ,eYHRCo6WQFm4TBWYzAdERg,,正在导入...,Importing...
ZaCobtbNQzaNKD5TjUT08Q,eYHRCo6WQFm4TBWYzAdERg,,新增成功,Add successfully
ap02DeGpSqOjwhrKB2/QTA,eYHRCo6WQFm4TBWYzAdERg,,编辑成功,Edit successfully
+zKiTrzFQX+ND9G4vZReqQ,eYHRCo6WQFm4TBWYzAdERg,,取消,Cancel
EtCtoR6uTHKOHm04GLjWzw,eYHRCo6WQFm4TBWYzAdERg,,保存,Save
vZVGIYeHSoOGz7S38Z48GA,eYHRCo6WQFm4TBWYzAdERg,,上一项,Previous
pKJZq3tvQIiV0dYXa4ifXA,eYHRCo6WQFm4TBWYzAdERg,,下一项,Next
wucgwrfnTKSS692qi99evQ,eYHRCo6WQFm4TBWYzAdERg,,开始,Start
l/WT4PwjQb+dp6w8ZPpeyg,eYHRCo6WQFm4TBWYzAdERg,,结束,End
6P8zoCV/QnuUg0leIKg5ag,eYHRCo6WQFm4TBWYzAdERg,,最小值,Minimum
3vXJAaeKTkaO9dZShidqow,eYHRCo6WQFm4TBWYzAdERg,,最大值,Maximum
OdsLJ8o4TF22Q2ct5e9ZyA,eYHRCo6WQFm4TBWYzAdERg,,清空已选择,EmptySelected
GsR5298hT3+2UsXunubQ+Q,eYHRCo6WQFm4TBWYzAdERg,,收起,PutAway
aEPb2Xe2RqKkiq4m4o8ceg,eYHRCo6WQFm4TBWYzAdERg,,展开,Expand
llTNTVQMStC2Crv4qI0scw,eYHRCo6WQFm4TBWYzAdERg,,正在导出,Exporting
yceC83G8Q/uTBSAQnCBtjg,eYHRCo6WQFm4TBWYzAdERg,,正在为导出加载数据,Loading data for export
0h5oHEKpSZ+J30ISsIFsEQ,eYHRCo6WQFm4TBWYzAdERg,,取消导出,CancelExport
RYCiu4wDSaa+56MTJvPYJg,eYHRCo6WQFm4TBWYzAdERg,,请选择需要编辑的 {0},Please select the {0} to be edited
N6W4IAFhTgWs1L3Irraouw,eYHRCo6WQFm4TBWYzAdERg,,启用 {0} {1} 成功,Enable {0} {1} successfully
E9ydq1wOT2KYXFgssznJrg,eYHRCo6WQFm4TBWYzAdERg,,禁用 {0} {1} 成功,Disable {0} {1} successfully
pz4L4BanSTSTbcPMAvh9mw,eYHRCo6WQFm4TBWYzAdERg,,请选择需要 锁定 的 {0},Please select the {0} to be locked
aWFRKUkwSbaZLeXvbuywHg,eYHRCo6WQFm4TBWYzAdERg,,请选择需要 解锁 的 {0},Please select the {0} to be unlocked
HjaG/S3CTUGZDiRejgFcUA,eYHRCo6WQFm4TBWYzAdERg,,锁定 {0} {1} 成功,Lock {0} {1} successfully
3BAjAiGjT92+oYwHFN5cXg,eYHRCo6WQFm4TBWYzAdERg,,解锁 {0} {1} 成功,Unlock {0} {1} successfully
CWZ/qefeQUKsRcj4NyVLXQ,eYHRCo6WQFm4TBWYzAdERg,,只能选择 1 {0},Only 1 {0} can be selected
pq1F23ZQTN2pCpiGkZbD8w,eYHRCo6WQFm4TBWYzAdERg,,选择,Select
WHWGnDIcRRGqBcZBsbh7dg,eYHRCo6WQFm4TBWYzAdERg,,是,Yes
7poQDInkQMyVsnHw/gv6Xw,eYHRCo6WQFm4TBWYzAdERg,,否,No
YZip9Eu4RymkDxcBnfoMDg,eYHRCo6WQFm4TBWYzAdERg,,序号,Sequence
+3i7psAQT9uOCXippeLPyQ,eYHRCo6WQFm4TBWYzAdERg,,操作,Operation
IS9oACESTj2PZw8cqQWG4g,eYHRCo6WQFm4TBWYzAdERg,,不能大于 {0},Cannot be greater than {0}
jMxeC6yGQnawY8DZAo2B3Q,eYHRCo6WQFm4TBWYzAdERg,,不能小于 {0},Cannot be less than {0}
xMwn5VMqTYCVgZ2Vqm9L6A,eYHRCo6WQFm4TBWYzAdERg,,长度不能超过 {0},Length cannot be greater than {0}
99FIv+PcShuKSSkBjzy/rQ,eYHRCo6WQFm4TBWYzAdERg,,长度不能小于 {0},Length cannot be less than {0}
31PKn3S3TsOabJ9gu2hhag,eYHRCo6WQFm4TBWYzAdERg,,格式不正确,Incorrect format
W0+sDcLuSlCfUtRLeEVZkQ,eYHRCo6WQFm4TBWYzAdERg,,请输入正确的电子邮件,Please enter a valid email
1qg5PvvGQ2iyjiQryQY0+A,eYHRCo6WQFm4TBWYzAdERg,,请输入正确的网址,Please enter a valid URL
GdNQqDzbRIO/NnUpOlUKIQ,eYHRCo6WQFm4TBWYzAdERg,,请输入正确的IP地址,Please enter a valid IP address
C2OkwJjSTvKqZefFCtiY1Q,eYHRCo6WQFm4TBWYzAdERg,,(已删除),(Deleted)
i/Hl77nqS9KZQia/RBsYCw,eYHRCo6WQFm4TBWYzAdERg,,(已锁定),(Locked)
RhZ6CvGpTeyM3E+BXytZoA,eYHRCo6WQFm4TBWYzAdERg,,(无编辑权限),(No edit permission)
DqpSMQO3QzeYpdnb3s9dvQ,eYHRCo6WQFm4TBWYzAdERg,,表单重置完毕,Form reset completed
hZJZkMJ2RUKqTrF/g9JfSw,eYHRCo6WQFm4TBWYzAdERg,,此 {0} 已被其他用户编辑，是否刷新?,"This {0} has been edited by other users, do you want to refresh?"
9W6HYyyITPOPf3aasY2sOw,eYHRCo6WQFm4TBWYzAdERg,,"此 {0} 已被其他用户删除, 是否关闭窗口","This {0} has been deleted by other users, do you want to close the window"
+zum3qowTJqSzHI4gT9TbA,eYHRCo6WQFm4TBWYzAdERg,,已经是第一项了,Already the first item
mN3XgXQGRIWbE/URNS9+PA,eYHRCo6WQFm4TBWYzAdERg,,已经是最后一项了,Already the last item
qpgmCxo3RdSsuMSHlq6Vwg,eYHRCo6WQFm4TBWYzAdERg,,删除 {0} 项,Delete {0} items
mJyKkSAVRT2Fb/WcSl8Ulw,eYHRCo6WQFm4TBWYzAdERg,,新增 {0} 项,Add {0} items
pzC77w0kSbqQNhsGCku4aA,eYHRCo6WQFm4TBWYzAdERg,,清空缓存,EmptyCache
nXQOC6jhQmuzgAfwDJWkDQ,eYHRCo6WQFm4TBWYzAdERg,,登录,Login
yBMNox/PRjiY6ZA+IjrVYw,eYHRCo6WQFm4TBWYzAdERg,,正在登录,Logging in
U6qHwLCCRvmqfcVdChOfxg,eYHRCo6WQFm4TBWYzAdERg,,全部,All
DU4zbJ/5TnW3AHxqD8n6hw,eYHRCo6WQFm4TBWYzAdERg,,(全部),(All)
9MHl8AplRqebS0ctpY6b1A,eYHRCo6WQFm4TBWYzAdERg,,黑暗模式,Dark
+sxJ+cuoRe+feANk7dKK4Q,eYHRCo6WQFm4TBWYzAdERg,,明亮模式,Light
v8EjZv5fRhSn3zZKIMSIXw,eYHRCo6WQFm4TBWYzAdERg,,关闭其它,Close others
h6OJpDT6RTqPK/XLphvBug,eYHRCo6WQFm4TBWYzAdERg,,打开首页,Open home page
I6b/C/MBTdOpzhHmeJezhA,eYHRCo6WQFm4TBWYzAdERg,,修改密码,Changepassword
67kkb7Y8QxSI4CF+NGIAuw,eYHRCo6WQFm4TBWYzAdERg,,退出登录,Logout
cOkcWEbRTf23e6eHc3zu2w,eYHRCo6WQFm4TBWYzAdERg,,全选,SelectAll
6h7IZQ0GQ/2ICSf7tDclyA,eYHRCo6WQFm4TBWYzAdERg,,数据已经存在,Data already exists
EwhF0nxvR42gRKIlMobH6w,eYHRCo6WQFm4TBWYzAdERg,,不能修改已经锁定的数据,Unable to modify locked data
qsJon7BaT1GenCH7sK2B1A,eYHRCo6WQFm4TBWYzAdERg,,不能删除已经锁定的数据,Unable to delete locked data
0IisbqBXQDuSf9fRPBfUdg,eYHRCo6WQFm4TBWYzAdERg,,版本号,Version
9oS3go9ASMahCddminFdUw,eYHRCo6WQFm4TBWYzAdERg,,创建人,Creator
q3FYtUyXSYiDzDTgcQ4SLQ,eYHRCo6WQFm4TBWYzAdERg,,创建时间,CreateTime
+W2rlzsJS16EVWB5yzvtPA,eYHRCo6WQFm4TBWYzAdERg,,更新人,Updater
ziPsIVUAQMav3m6YNTt+hQ,eYHRCo6WQFm4TBWYzAdERg,,更新时间,UpdateTime
VXqqQfe6RImljIdOJgP3+w,eYHRCo6WQFm4TBWYzAdERg,,删除,Delete
wKQ4ZjuCQuis7LpZXVaYFg,eYHRCo6WQFm4TBWYzAdERg,,删除时间,DeletionTime
u81qzHdvQvWnLcp/AwDEvA,eYHRCo6WQFm4TBWYzAdERg,,导出失败,Export failed
tnPRnqK3Qr2Di7MKeK3Pdg,eYHRCo6WQFm4TBWYzAdERg,,上传,Upload
j0q2AJ+NS4iln8PIDX2GgA,eYHRCo6WQFm4TBWYzAdERg,,下载,Download
Ns1W3ROITMWZ2/xLorRZMw,eYHRCo6WQFm4TBWYzAdERg,,打印,Print
+FHxokPLQBu7iTrUmIEiBQ,eYHRCo6WQFm4TBWYzAdERg,,网页中打开,OpenInWeb
516Y0LTNTQWPQGudS23k9Q,eYHRCo6WQFm4TBWYzAdERg,,前移,MoveForward
+haDYzDcQwa9q6WwQkIiBQ,eYHRCo6WQFm4TBWYzAdERg,,后移,MoveBackward
7JEso81eTfu6anGus5GTUg,eYHRCo6WQFm4TBWYzAdERg,,(暂无附件),(No attachments)
MO6g+QxgSFKsLGV4J59+4Q,eYHRCo6WQFm4TBWYzAdERg,,"加载中, 请稍后...","Loading, please wait..."
v5spr5iTQP2pwmIa/wn30w,eYHRCo6WQFm4TBWYzAdERg,,最多只能上传 {0} 个附件,Up to {0} attachments can be uploaded
pO8sqGu0T86hQiXQiI3qZw,eYHRCo6WQFm4TBWYzAdERg,,确定删除当前附件吗？,Are you sure you want to delete the current attachment?
A5dcTiQkTrahFOf21g4nHQ,eYHRCo6WQFm4TBWYzAdERg,,删除成功,Delete successfully
KQpyJoZKQzWXiSvlooyOSw,eYHRCo6WQFm4TBWYzAdERg,,"文件 {0} 尚未上传, 确定取消?","File {0} has not been uploaded, are you sure you want to cancel?"
/wvTeQcJRVCFeg/y/0md1g,eYHRCo6WQFm4TBWYzAdERg,,正在导入,Importing
2PgaOD36T62/1cxu8VGp5A,eYHRCo6WQFm4TBWYzAdERg,,确定停止导入?,Confirm to stop importing?
88xPEhoPTlu4wmyzSDo+/A,eYHRCo6WQFm4TBWYzAdERg,,停止导入,StopImporting
zxiXsZxSQnGO+NZxMh6Riw,eYHRCo6WQFm4TBWYzAdERg,,我再想想,Let me think again
QtJ1lzrySIyg2rtYpK/3Vw,eYHRCo6WQFm4TBWYzAdERg,,"修改失败, 数据已被删除","Modification failed, data has been deleted"
2fVeWJpJSYSGmvXqOBTmcw,eYHRCo6WQFm4TBWYzAdERg,,文件,File
kpBkVS2KThu8zjGuRViXFg,eYHRCo6WQFm4TBWYzAdERg,,下载导入模板,DownloadImportTemplate
hBnG+uPxSAKYeZW7cz2Q8Q,eYHRCo6WQFm4TBWYzAdERg,,导入模板,ImportTemplate
7yL2KUvpR4CVWo6EIWGLxg,eYHRCo6WQFm4TBWYzAdERg,,确定删除当前图片吗？,Are you sure you want to delete the current image?
