id,lang_id,menu_id,code,lbl
j8Dqo5DjQNGA8Q/0gm3qlQ,MGExYjJhODVkY2FlNDI4OW,,请输入,请输入
jbRypV7LTyad+CY8sRM0Cg,MGExYjJhODVkY2FlNDI4OW,,请选择,请选择
UhYlzE4lTeiiMIwiHFybpQ,MGExYjJhODVkY2FlNDI4OW,,批量导入,批量导入
dMJgZnGiSAebc7+nVQUjIQ,MGExYjJhODVkY2FlNDI4OW,,正在导入...,正在导入...
ER/Yd4tQSVqXXOKv6oNZtQ,MGExYjJhODVkY2FlNDI4OW,,新增成功,新增成功
bgVBGw7aR4uM3xJaPX4YhA,MGExYjJhODVkY2FlNDI4OW,,编辑成功,编辑成功
SrmZuqyMTZuH6Gzcoygokg,MGExYjJhODVkY2FlNDI4OW,,取消,取消
whgDHQkKT12lHbUA+MFOxg,MGExYjJhODVkY2FlNDI4OW,,保存,保存
CAmxISE9QaqOUErH79VdOg,MGExYjJhODVkY2FlNDI4OW,,上一项,上一项
CUH2epRqRIyxv3DGOOJROw,MGExYjJhODVkY2FlNDI4OW,,下一项,下一项
gsozuN1UQCa1M9rMxjYe6g,MGExYjJhODVkY2FlNDI4OW,,开始,开始
W6HBndHgR9GX1Gd4ubHRgw,MGExYjJhODVkY2FlNDI4OW,,数据已经存在,数据已经存在
Un7z+heNTbqNDDsoP03gKA,MGExYjJhODVkY2FlNDI4OW,,不能修改已经锁定的数据,不能修改已经锁定的数据
lmC+tZr/Tq+la8AaqP7lPw,MGExYjJhODVkY2FlNDI4OW,,不能删除已经锁定的数据,不能删除已经锁定的数据
4UDh4qDaSo23vYss31bn2Q,MGExYjJhODVkY2FlNDI4OW,,版本号,版本号
+2EtYEqpTX2AV+3j/8gzVQ,MGExYjJhODVkY2FlNDI4OW,,创建人,创建人
K+uHEw6STgmo+616hEu1fQ,MGExYjJhODVkY2FlNDI4OW,,创建时间,创建时间
OGqrD/nzQeWro0SnLrsadg,MGExYjJhODVkY2FlNDI4OW,,更新人,更新人
f/jHTnIwRrSrHLxWcJZUww,MGExYjJhODVkY2FlNDI4OW,,更新时间,更新时间
BPo/f2xRQs61eUgpl/m2dQ,MGExYjJhODVkY2FlNDI4OW,,删除,删除
XQ2xmRQyS3eZCc0vNKQlQg,MGExYjJhODVkY2FlNDI4OW,,删除时间,删除时间
nGgOf98WR8a7jX8pXl4ZRw,MGExYjJhODVkY2FlNDI4OW,,导出失败,导出失败
9X2mciq8SEye/qVDL0nzew,MGExYjJhODVkY2FlNDI4OW,,上传,上传
fxEM/FOTTgmK6bX7+llLPQ,MGExYjJhODVkY2FlNDI4OW,,下载,下载
0kCCZUNsQBC/JGTdIuJXKg,MGExYjJhODVkY2FlNDI4OW,,打印,打印
VYrtjyUzRxmelcareBhsOQ,MGExYjJhODVkY2FlNDI4OW,,网页中打开,网页中打开
AUDh5e1eTJaWsXWzAYdzHQ,MGExYjJhODVkY2FlNDI4OW,,前移,前移
QJwwSQVpQj+5F4jzuPLtxQ,MGExYjJhODVkY2FlNDI4OW,,后移,后移
4xS7njhJQ3eQq89yvObq3g,MGExYjJhODVkY2FlNDI4OW,,(暂无附件),(暂无附件)
X/jyF4w3QlO6n1Dq5lMCcg,MGExYjJhODVkY2FlNDI4OW,,"加载中, 请稍后...","加载中, 请稍后..."
3jZHr5UeTlG1ZwDo0fo1vg,MGExYjJhODVkY2FlNDI4OW,,最多只能上传 {0} 个附件,最多只能上传 {0} 个附件
v8yXmF4LQPuQFERTpUhANA,MGExYjJhODVkY2FlNDI4OW,,确定删除当前附件吗？,确定删除当前附件吗？
DkgURQnwSHW06WIomiJj8w,MGExYjJhODVkY2FlNDI4OW,,删除成功,删除成功
DAoKeHBaRryHMIAAaPCwiw,MGExYjJhODVkY2FlNDI4OW,,"文件 {0} 尚未上传, 确定取消?","文件 {0} 尚未上传, 确定取消?"
S4Kfzo1CTeWlE0Ymf+Ugow,MGExYjJhODVkY2FlNDI4OW,,正在导入,正在导入
3EDWJIywSNyf4IJjugqqIQ,MGExYjJhODVkY2FlNDI4OW,,确定停止导入?,确定停止导入?
Rjn+SuzWRHiCj9KBVry6aw,MGExYjJhODVkY2FlNDI4OW,,停止导入,停止导入
suSS0+rwRbanllnl6uD08w,MGExYjJhODVkY2FlNDI4OW,,我再想想,我再想想
RxpC2J+tShmt/7pqcnYeaw,MGExYjJhODVkY2FlNDI4OW,,"修改失败, 数据已被删除","修改失败, 数据已被删除"
mHVG61rlRdqfz5+BsuS/qQ,MGExYjJhODVkY2FlNDI4OW,,登录,登录
IHlATQmJQmOTt5IYe6gSpg,MGExYjJhODVkY2FlNDI4OW,,正在登录,正在登录
VynAJNOhS1SqMd0zMb4WTw,MGExYjJhODVkY2FlNDI4OW,,文件,文件
RkDH5ER6RF6YEZlFdKhg8Q,MGExYjJhODVkY2FlNDI4OW,,下载导入模板,下载导入模板
MO3gtJ//R8+q8nkJXQhGhg,MGExYjJhODVkY2FlNDI4OW,,导入模板,导入模板
KsLh/bVMTDSsE6482AfA2g,MGExYjJhODVkY2FlNDI4OW,,确定删除当前图片吗？,确定删除当前图片吗？
SzSW/kQVSfegv2E/Iag46g,MGExYjJhODVkY2FlNDI4OW,,最多只能上传 {0} 张图片,最多只能上传 {0} 张图片
yoscsVmJRDyY4YtszjHz9w,MGExYjJhODVkY2FlNDI4OW,,文件大小不能超过 {0}M,文件大小不能超过 {0}M
yLWrBw+tRpeQjAdVzpCY5A,MGExYjJhODVkY2FlNDI4OW,,还原,还原
G1G0d7Q3TPy/rkSE+AAs5Q,MGExYjJhODVkY2FlNDI4OW,,不能删除系统记录,不能删除系统记录
dRIn1+FuSwmoWqZJA/ASQw,MGExYjJhODVkY2FlNDI4OW,,管理系统,管理系统
4f9ng+AIQLyjJ62xyCOvLw,MGExYjJhODVkY2FlNDI4OW,,管理系统 (测试库),管理系统 (测试库)
lLAXmbKDTBSYHWETtMJK7g,MGExYjJhODVkY2FlNDI4OW,,确定清空缓存?,确定清空缓存?
Yy/1q+6FRu+t4D7EyYrkUg,MGExYjJhODVkY2FlNDI4OW,,确定退出登录?,确定退出登录?
Ium3E0o8QkGXLr2ENOFUOw,MGExYjJhODVkY2FlNDI4OW,,提示,提示
