id,dict_id,_dict_lbl,lbl,val,order_by,is_locked,is_sys
QhpPIFRpQe2jYomksTn6SA,ksWQkD+NSJaIjpcYUvrjtw,企微消息 - 发送状态,成功,0,101,1,1
yCnBk9t7QSeY1vIeD85tNg,ksWQkD+NSJaIjpcYUvrjtw,,失败,81013,102,1,1
