id,role_id,menu_id,tenant_id,order_by
qlVsXggxG9PWszViVVOy4z,T/A58UzxTzK0thbZH7aZhw,bzgBD7S3SXa9BSOZgbFrDg,ZDbZlC1OT8KaDg6soxMCBQ,8000
WH6PxdHVRkFoaxkrEcTnUU,T/A58UzxTzK0thbZH7aZhw,59YKdUE1QTGeKu9L3ay9PQ,ZDbZlC1OT8KaDg6soxMCBQ,8001
EcR+qd8jiK5LSfUVcHQWix,T/A58UzxTzK0thbZH7aZhw,iYvJ+WlCSkyfzeKqPPKAPQ,ZDbZlC1OT8KaDg6soxMCBQ,8002
HxHUi8e+7BvThJJ3VQdzSh,T/A58UzxTzK0thbZH7aZhw,U8D01zL8R/G223eflGbGMQ,ZDbZlC1OT8KaDg6soxMCBQ,8003
EeGRo62TRmnqrgXbMG+Em3,T/A58UzxTzK0thbZH7aZhw,6VE6lqrgThC5/psL4R2awA,ZDbZlC1OT8KaDg6soxMCBQ,8004
D7S1/exYcLL8pdr/xog9D6,T/A58UzxTzK0thbZH7aZhw,/gWJiswRSHy4LjYnQ9ZcEw,ZDbZlC1OT8KaDg6soxMCBQ,8005
l3AQ7hcoFIWxuUzvBOsNPp,T/A58UzxTzK0thbZH7aZhw,itAdbg1GSh+D9RL399/nsg,ZDbZlC1OT8KaDg6soxMCBQ,8006
YeuR16Mkb+6HVBH+VIZ8qq,T/A58UzxTzK0thbZH7aZhw,TmPTtNyIQv25306j35C1jQ,ZDbZlC1OT8KaDg6soxMCBQ,8007
j35cWPmzddP4beTu1Fck1A,T/A58UzxTzK0thbZH7aZhw,feRSguEeQEGgCJBxMSkrYA,ZDbZlC1OT8KaDg6soxMCBQ,8008
