id,parent_id,lbl,route_path,route_query,is_enabled,order_by
bzgBD7S3SXa9BSOZgbFrDg,,商城管理,,,1,8000
59YKdUE1QTGeKu9L3ay9PQ,bzgBD7S3SXa9BSOZgbFrDg,订单,/wshop/order,,1,8001
iYvJ+WlCSkyfzeKqPPKAPQ,bzgBD7S3SXa9BSOZgbFrDg,会员卡,/wshop/card,,1,8002
U8D01zL8R/G223eflGbGMQ,bzgBD7S3SXa9BSOZgbFrDg,产品,/wshop/pt,,1,8003
6VE6lqrgThC5/psL4R2awA,bzgBD7S3SXa9BSOZgbFrDg,产品类别,/wshop/pt_type,,1,8004
/gWJiswRSHy4LjYnQ9ZcEw,bzgBD7S3SXa9BSOZgbFrDg,会员卡充值记录,/wshop/card_recharge,,1,8005
itAdbg1GSh+D9RL399/nsg,bzgBD7S3SXa9BSOZgbFrDg,会员卡消费记录,/wshop/card_consume,,1,8006
TmPTtNyIQv25306j35C1jQ,bzgBD7S3SXa9BSOZgbFrDg,充值赠送规则,/wshop/recharge_rule,,1,8007
feRSguEeQEGgCJBxMSkrYA,bzgBD7S3SXa9BSOZgbFrDg,小程序配置,/wshop/wxapp_config,,1,8008
