id,type,parent_id,lbl,route_path,route_query,is_enabled,order_by
bzgBD7S3SXa9BSOZgbFrDg,pc,,商城管理,,NULL,1,8000
59YKdUE1QTGeKu9L3ay9PQ,pc,bzgBD7S3SXa9BSOZgbFrDg,订单,/esw/order,NULL,1,8001
iYvJ+WlCSkyfzeKqPPKAPQ,pc,bzgBD7S3SXa9BSOZgbFrDg,会员卡,/esw/card,NULL,1,8002
U8D01zL8R/G223eflGbGMQ,pc,bzgBD7S3SXa9BSOZgbFrDg,产品,/esw/pt,NULL,1,8003
6VE6lqrgThC5/psL4R2awA,pc,bzgBD7S3SXa9BSOZgbFrDg,产品类别,/esw/pt_type,NULL,1,8004
/gWJiswRSHy4LjYnQ9ZcEw,pc,bzgBD7S3SXa9BSOZgbFrDg,会员卡充值记录,/esw/card_recharge,NULL,1,8005
itAdbg1GSh+D9RL399/nsg,pc,bzgBD7S3SXa9BSOZgbFrDg,会员卡消费记录,/esw/card_consume,NULL,1,8006
TmPTtNyIQv25306j35C1jQ,pc,bzgBD7S3SXa9BSOZgbFrDg,充值赠送规则,/esw/recharge_rule,NULL,1,8007
feRSguEeQEGgCJBxMSkrYA,pc,bzgBD7S3SXa9BSOZgbFrDg,小程序配置,/esw/wxapp_config,NULL,1,8008
