id,role_id,menu_id,tenant_id,order_by
LkEetNUTRVCbbmF/J6E/OQ,T/A58UzxTzK0thbZH7aZhw,bzgBD7S3SXa9BSOZgbFrDg,ZDbZlC1OT8KaDg6soxMCBQ,8000
x/lQYxoqQha3kY6zGAAYvQ,T/A58UzxTzK0thbZH7aZhw,59YKdUE1QTGeKu9L3ay9PQ,ZDbZlC1OT8KaDg6soxMCBQ,8001
cRDZhJaNQ6mOUi/jVxeAWA,T/A58UzxTzK0thbZH7aZhw,iYvJ+WlCSkyfzeKqPPKAPQ,ZDbZlC1OT8KaDg6soxMCBQ,8002
Q614VCw7S22y3N2U8h8YJg,T/A58UzxTzK0thbZH7aZhw,U8D01zL8R/G223eflGbGMQ,ZDbZlC1OT8KaDg6soxMCBQ,8003
Jw8pRvISTZim2UqGwpqOpw,T/A58UzxTzK0thbZH7aZhw,6VE6lqrgThC5/psL4R2awA,ZDbZlC1OT8KaDg6soxMCBQ,8004
G58JchTkR6GwZl1mwPfiCw,T/A58UzxTzK0thbZH7aZhw,/gWJiswRSHy4LjYnQ9ZcEw,ZDbZlC1OT8KaDg6soxMCBQ,8005
BiAahviFQZu4/B+cILdmLA,T/A58UzxTzK0thbZH7aZhw,itAdbg1GSh+D9RL399/nsg,ZDbZlC1OT8KaDg6soxMCBQ,8006
XxctWh0YRIy/O+gGcA4KHw,T/A58UzxTzK0thbZH7aZhw,TmPTtNyIQv25306j35C1jQ,ZDbZlC1OT8KaDg6soxMCBQ,8007
7epr9r8CQWiG8m2z/McAjQ,T/A58UzxTzK0thbZH7aZhw,feRSguEeQEGgCJBxMSkrYA,ZDbZlC1OT8KaDg6soxMCBQ,8008
