id,tenant_id,menu_id,order_by
3JCZGtGSQvmvsysdJTJScw,ZDbZlC1OT8KaDg6soxMCBQ,bzgBD7S3SXa9BSOZgbFrDg,8000
etGjC+FkSrSlnKLmnuBtTQ,ZDbZlC1OT8KaDg6soxMCBQ,59YKdUE1QTGeKu9L3ay9PQ,8001
r/upuyTeSPuOEbrkn5TsuQ,ZDbZlC1OT8KaDg6soxMCBQ,iYvJ+WlCSkyfzeKqPPKAPQ,8002
ZW7Ds/PpSpei94nUIjwqMg,ZDbZlC1OT8KaDg6soxMCBQ,U8D01zL8R/G223eflGbGMQ,8003
lbqBFtwvR5qzmxKyKbXyaQ,ZDbZlC1OT8KaDg6soxMCBQ,6VE6lqrgThC5/psL4R2awA,8004
P9GvtD9tSUOEGkO/tebULA,ZDbZlC1OT8KaDg6soxMCBQ,/gWJiswRSHy4LjYnQ9ZcEw,8005
6xFrnY0bQi2p7eGvQM5iNQ,ZDbZlC1OT8KaDg6soxMCBQ,itAdbg1GSh+D9RL399/nsg,8006
MvLOMTdMQ328oE7eNwGCIQ,ZDbZlC1OT8KaDg6soxMCBQ,TmPTtNyIQv25306j35C1jQ,8007
