id,code,lbl,type,order_by,is_sys,is_add
ubx4bdzMRE+Ao8SJXaJGPA,cron_job_timezone,定时任务-时区,string,100,0,1
PWu1eG6dThyAvtF7M5RZSw,cron_job_log_exec_state,定时任务-执行状态,string,101,1,0
