id,role_id,menu_id,tenant_id,order_by
hAlImBW+TfKmyfQcY7oZ6A,T/A58UzxTzK0thbZH7aZhw,a39GOObeQt6dbIHH1co18g,ZDbZlC1OT8KaDg6soxMCBQ,19
G6EiQuYERqe1/rL5awRlEQ,T/A58UzxTzK0thbZH7aZhw,a/7XlyOxT52cohD4tbw1ag,ZDbZlC1OT8KaDg6soxMCBQ,20
rOw2A8opSkK0u0nqOOnZXA,T/A58UzxTzK0thbZH7aZhw,atlpWh9kSXCkTpZSBVkLcw,ZDbZlC1OT8KaDg6soxMCBQ,21
g4853fJRRPmuECf6wcf46Q,T/A58UzxTzK0thbZH7aZhw,GYC3rDTsTfKoMk8aLeDRaQ,ZDbZlC1OT8KaDg6soxMCBQ,22
prOvXIjWQQy9Spyf2qlGAw,T/A58UzxTzK0thbZH7aZhw,+bfcjNUaSTm4wd53X4QKjg,ZDbZlC1OT8KaDg6soxMCBQ,23
m0mXk/ZHTa+3PIvJyIxn4w,T/A58UzxTzK0thbZH7aZhw,GNhDacekTzqt5tuZ6ZkwEA,ZDbZlC1OT8KaDg6soxMCBQ,24
