id,code,lbl,type,order_by,is_locked
RboeLeiwQ6qCs3aFA04+WA,is_deleted,删除,boolean,1,1
CGj3tZtKThK1EaENmjvoWA,is_locked,锁定,boolean,2,1
o9GwL7PXSaG6gLDZ8oprwg,is_enabled,启用,boolean,3,1
oMfKFOvtQz+X+2BFT7RBqw,dict_type,系统字典-数据类型,string,4,1
5fHSeoTSQCGjsjacOcsbPQ,background_task_state,后台任务-状态,string,5,1
gZEUbwGnRtC6gWoMMrGS0g,background_task_type,后台任务-类型,string,6,1
kkVmi2YWQD6TGZw6/sEVoQ,menu_type,菜单-类型,string,7,1
HkN1YAmIQtiQg7gzH9ijuA,yes_no,是否,boolean,8,1
