id,lang_id,dict_detail_id,lbl
/zGnezMvSnOYXsE9Uumrzg,MGExYjJhODVkY2FlNDI4OW,H11gbStqSI63GsiUazHNdw,成功
jJ19yNjJTCCe+aKB2v8J3g,MGExYjJhODVkY2FlNDI4OW,NjWlh8D9SY+YqxBrpwtqPg,失败
,,,
9O32Ivf9Qb+gyU38NvwsJQ,eYHRCo6WQFm4TBWYzAdERg,H11gbStqSI63GsiUazHNdw,success
n+aoPoiISKydaBREV0CDRQ,eYHRCo6WQFm4TBWYzAdERg,NjWlh8D9SY+YqxBrpwtqPg,failure
