id,lang_id,dict_id,lbl
/lOVsxaFSOmGkTaH5EPWtg,MGExYjJhODVkY2FlNDI4OW,civYPrDkROmykcnzBeqiRw,短信发送记录-状态
,,,
17w4LUOZSlC4Dm1Al3Kplg,eYHRCo6WQFm4TBWYzAdERg,civYPrDkROmykcnzBeqiRw,SMS Record Status
