id,role_id,menu_id,tenant_id,order_by
4u227zr63vgkVgsLW/riHR,T/A58UzxTzK0thbZH7aZhw,BLBxqwTuTPq3mvbkwlq9+Q,ZDbZlC1OT8KaDg6soxMCBQ,60000
wnFvbPZ8Hz7bfDNf98fkfp,T/A58UzxTzK0thbZH7aZhw,HXWau3obRomBVMgINE3ZQg,ZDbZlC1OT8KaDg6soxMCBQ,60001
UNSuJ5Mbq7wHhfTPBZVPm0,T/A58UzxTzK0thbZH7aZhw,iW3SbtTWTx+WuFyN4exq1Q,ZDbZlC1OT8KaDg6soxMCBQ,60002
8btkhyACVA3PB+Y1FxZa20,T/A58UzxTzK0thbZH7aZhw,z1FptDHOSO2eEX9SvCJxAw,ZDbZlC1OT8KaDg6soxMCBQ,60003
5OIyhOhH+6C2IDTvYon/3m,T/A58UzxTzK0thbZH7aZhw,T1sN9EbfRl2lJ/+PMah2rw,ZDbZlC1OT8KaDg6soxMCBQ,60004
uPDf7xleGKqQ0L4B5rZQlg,T/A58UzxTzK0thbZH7aZhw,U2VeD5+/TX2rrBiC52gzIA,ZDbZlC1OT8KaDg6soxMCBQ,60005
c6PhkNGtvlhQ1PbeAoa1Tf,T/A58UzxTzK0thbZH7aZhw,ffy5PnaMTmGXLNZudil8FQ,ZDbZlC1OT8KaDg6soxMCBQ,60006
OhVO9D5k3hanN0EwDIrbgi,T/A58UzxTzK0thbZH7aZhw,+E1QwZakTQq+/+6s05r0aw,ZDbZlC1OT8KaDg6soxMCBQ,60007
